ano,numero
1907,8155
1907,8156
1907,8157
1907,8158
1907,8159
1907,8160
1907,8161
1907,8162
1907,8163
1907,8164
1907,8165
1907,8166
1907,8167
1907,8168
1907,8169
1907,8170
1907,8171
1907,8172
1907,8173
1907,8174
1907,8175
1907,8176
1907,8177
1907,8178
1907,8179
1907,8180
1907,8181
1907,8182
1907,8183
1907,8184
1907,8185
1907,8186
1907,8187
1907,8188
1907,8189
1907,8190
1907,8191
1907,8192
1907,8193
1907,8194
1907,8195
1907,8196
1907,8197
1907,8198
1907,8199
1907,8200
1907,8201
1907,8202
1907,8203
1907,8204
1907,8205
1907,8206
1907,8207
1907,8208
1907,8209
1907,8210
1907,8211
1907,8212
1907,8213
1907,8214
1907,8215
1907,8216
1907,8217
1907,8218
1907,8219
1907,8220
1907,8221
1907,8222
1907,8223
1907,8224
1907,8225
1907,8226
1907,8227
1907,8228
1907,8229
1907,8230
1907,8231
1907,8232
1907,8233
1907,8234
1907,8235
1907,8236
1907,8237
1907,8238
1907,8239
1907,8240
1907,8241
1907,8242
1907,8243
1907,8244
1907,8245
1907,8246
1907,8247
1907,8248
1907,8249
1907,8250
1907,8251
1907,8252
1907,8253
1907,8255
1907,8256
1907,8257
1907,8258
1907,8259
1907,8260
1907,8261
1907,8262
1907,8263
1907,8264
1907,8265
1907,8266
1907,8267
1907,8268
1907,8269
1907,8270
1907,8271
1907,8272
1907,8273
1907,8274
1907,8275
1907,8276
1907,8277
1907,8278
1907,8279
1907,8280
1907,8281
1907,8282
1907,8283
1907,8284
1907,8285
1907,8286
1907,8287
1907,8288
1907,8289
1907,8290
1907,8291
1907,8292
1907,8293
1907,8294
1907,8295
1907,8296
1907,8297
1907,8298
1907,8299
1907,8300
1907,8301
1907,8302
1907,8303
1907,8304
1907,8305
1907,8306
1907,8307
1907,8308
1907,8309
1907,8310
1907,8311
1907,8312
1907,8313
1907,8314
1907,8315
1907,8316
1907,8317
1907,8318
1907,8319
1907,8320
1907,8321
1907,8322
1907,8323
1907,8324
1907,8325
1907,8326
1907,8327
1907,8328
1907,8329
1907,8330
1907,8331
1907,8332
1907,8333
1907,8334
1907,8335
1907,8336
1907,8337
1907,8338
1907,8339
1907,8340
1907,8341
1907,8342
1907,8343
1907,8344
1907,8345
1907,8346
1907,8347
1907,8348
1907,8349
1907,8350
1907,8351
1907,8352
1907,8353
1907,8354
1907,8355
1907,8356
1907,8357
1907,8358
1907,8359
1907,8360
1907,8361
1907,8362
1907,8363
1907,8364
1907,8365
1907,8366
1907,8367
1908,8490
1908,8491
1908,8492
1908,8493
1908,8495
1908,8496
1908,8497
1908,8498
1908,8499
1908,8500
1908,8501
1908,8502
1908,8503
1908,8504
1908,8505
1908,8506
1908,8507
1908,8508
1908,8509
1908,8510
1908,8511
1908,8512
1908,8513
1908,8514
1908,8515
1908,8516
1908,8517
1908,8518
1908,8519
1908,8520
1908,8521
1908,8522
1908,8523
1908,8524
1908,8525
1908,8526
1908,8527
1908,8528
1908,8529
1908,8530
1908,8531
1908,8532
1908,8533
1908,8534
1908,8535
1908,8536
1908,8537
1908,8538
1908,8539
1908,8540
1908,8541
1908,8542
1908,8543
1908,8544
1908,8545
1908,8546
1908,8547
1908,8548
